task,feature_set,classifier,n_folds,auc_mean,auc_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
VO2,egemaps,gbm,5,0.935,0.093,0.79,0.161,0.794,0.117
VO2,egemaps,logreg,5,0.857,0.112,0.88,0.08,0.891,0.074
VO2,egemaps,rf,5,0.943,0.085,0.86,0.129,0.843,0.151
VO2,egemaps,xgb,5,0.945,0.076,0.83,0.115,0.838,0.122
VO2,w2v2,gbm,5,0.908,0.107,0.735,0.111,0.671,0.211
VO2,w2v2,logreg,5,0.97,0.067,0.79,0.149,0.779,0.171
VO2,w2v2,rf,5,0.878,0.177,0.795,0.15,0.742,0.26
VO2,w2v2,xgb,5,0.905,0.104,0.77,0.144,0.727,0.25
VU1,egemaps,gbm,5,0.884,0.138,0.847,0.106,0.876,0.093
VU1,egemaps,logreg,5,1.0,0.0,1.0,0.0,1.0,0.0
VU1,egemaps,rf,5,0.99,0.022,0.95,0.068,0.96,0.056
VU1,egemaps,xgb,5,0.957,0.043,0.88,0.119,0.892,0.114
VU1,w2v2,gbm,5,0.822,0.068,0.79,0.108,0.76,0.207
VU1,w2v2,logreg,5,0.943,0.085,0.785,0.153,0.762,0.236
VU1,w2v2,rf,5,0.895,0.123,0.83,0.134,0.872,0.101
VU1,w2v2,xgb,5,0.872,0.147,0.765,0.165,0.741,0.232
VU2,egemaps,gbm,5,0.92,0.086,0.875,0.125,0.898,0.095
VU2,egemaps,logreg,5,0.99,0.022,0.905,0.096,0.913,0.088
VU2,egemaps,rf,5,1.0,0.0,0.935,0.093,0.932,0.109
VU2,egemaps,xgb,5,0.99,0.022,0.88,0.089,0.891,0.074
VU2,w2v2,gbm,5,0.938,0.065,0.83,0.101,0.852,0.074
VU2,w2v2,logreg,5,0.98,0.045,0.89,0.114,0.861,0.15
VU2,w2v2,rf,5,0.949,0.073,0.855,0.099,0.847,0.125
VU2,w2v2,xgb,5,0.97,0.027,0.86,0.093,0.873,0.084
