task,classifier,feature_set,fold,n_train,n_test,auc,bal_acc,f1
PR1,gbm,egemaps,0,32,9,1.0,1.0,1.0
PR1,gbm,egemaps,1,33,8,1.0,1.0,1.0
PR1,gbm,egemaps,2,33,8,1.0,1.0,1.0
PR1,gbm,egemaps,3,33,8,1.0,1.0,1.0
PR1,gbm,egemaps,4,33,8,1.0,1.0,1.0
PR1,xgb,egemaps,0,32,9,0.875,0.875,0.9090909090909091
PR1,xgb,egemaps,1,33,8,1.0,1.0,1.0
PR1,xgb,egemaps,2,33,8,1.0,1.0,1.0
PR1,xgb,egemaps,3,33,8,1.0,1.0,1.0
PR1,xgb,egemaps,4,33,8,1.0,1.0,1.0
PR1,logreg,w2v2,0,32,9,1.0,1.0,1.0
PR1,logreg,w2v2,1,33,8,1.0,0.9,0.8888888888888888
PR1,logreg,w2v2,2,33,8,1.0,1.0,1.0
PR1,logreg,w2v2,3,33,8,1.0,1.0,1.0
PR1,logreg,w2v2,4,33,8,1.0,1.0,1.0
PR1,rf,w2v2,0,32,9,0.9,0.8,0.75
PR1,rf,w2v2,1,33,8,1.0,0.9,0.8888888888888888
PR1,rf,w2v2,2,33,8,1.0,0.875,0.8888888888888888
PR1,rf,w2v2,3,33,8,1.0,1.0,1.0
PR1,rf,w2v2,4,33,8,1.0,0.875,0.8888888888888888
PR1,gbm,w2v2,0,32,9,0.9,0.775,0.8
PR1,gbm,w2v2,1,33,8,1.0,0.9,0.8888888888888888
PR1,gbm,w2v2,2,33,8,0.875,0.875,0.8888888888888888
PR1,gbm,w2v2,3,33,8,1.0,0.8333333333333333,0.9090909090909091
PR1,gbm,w2v2,4,33,8,0.875,0.75,0.8
PR1,xgb,w2v2,0,32,9,0.9,0.775,0.8
PR1,xgb,w2v2,1,33,8,1.0,0.9,0.8888888888888888
PR1,xgb,w2v2,2,33,8,1.0,0.875,0.8888888888888888
PR1,xgb,w2v2,3,33,8,1.0,1.0,1.0
PR1,xgb,w2v2,4,33,8,0.875,0.875,0.8888888888888888
VA1,logreg,egemaps,0,35,9,1.0,1.0,1.0
VA1,logreg,egemaps,1,35,9,1.0,0.875,0.9090909090909091
VA1,logreg,egemaps,2,35,9,1.0,0.875,0.9090909090909091
VA1,logreg,egemaps,3,35,9,1.0,1.0,1.0
VA1,logreg,egemaps,4,36,8,1.0,1.0,1.0
VA1,rf,egemaps,0,35,9,1.0,1.0,1.0
VA1,rf,egemaps,1,35,9,0.95,0.875,0.9090909090909091
VA1,rf,egemaps,2,35,9,0.95,0.775,0.8
VA1,rf,egemaps,3,35,9,1.0,1.0,1.0
VA1,rf,egemaps,4,36,8,1.0,1.0,1.0
VA1,gbm,egemaps,0,35,9,1.0,1.0,1.0
VA1,gbm,egemaps,1,35,9,1.0,0.875,0.9090909090909091
VA1,gbm,egemaps,2,35,9,0.95,0.875,0.9090909090909091
VA1,gbm,egemaps,3,35,9,1.0,1.0,1.0
VA1,gbm,egemaps,4,36,8,1.0,1.0,1.0
VA1,xgb,egemaps,0,35,9,1.0,1.0,1.0
VA1,xgb,egemaps,1,35,9,1.0,0.875,0.9090909090909091
VA1,xgb,egemaps,2,35,9,0.85,0.75,0.8333333333333334
VA1,xgb,egemaps,3,35,9,1.0,1.0,1.0
VA1,xgb,egemaps,4,36,8,1.0,1.0,1.0
VA1,logreg,w2v2,0,35,9,0.9,0.775,0.8
VA1,logreg,w2v2,1,35,9,0.9,0.65,0.7272727272727273
